timestamp,brightness,exposure,temperature,ptp_status,ptp_servo_status,ptp_offset
1760456534625911,87.3808,214,68.062,Slave,Locked,441
1760456534725708,87.30433,214,68.062,Slave,Locked,441
1760456534825663,87.40566,215,68.062,Slave,Locked,437
1760456534925154,87.38014,215,68.062,Slave,Locked,437
1760456535027911,87.478004,215,68.062,Slave,Locked,437
1760456535125754,87.44063,215,68.062,Slave,Locked,437
1760456535226086,87.38669,216,68.062,Slave,Locked,437
1760456535325635,87.313805,216,68.062,Slave,Locked,437
1760456535425406,87.40024,216,68.062,Slave,Locked,437
1760456535527120,87.353935,216,68.062,Slave,Locked,437
1760456535625793,87.41567,217,68.062,Slave,Locked,437
1760456535728652,87.355095,217,68.062,Slave,Locked,437
1760456535826299,87.56269,218,68.062,Slave,Locked,437
1760456535925449,87.57121,218,68.062,Slave,Locked,437
1760456536027930,87.501595,219,68.062,Slave,Locked,437
1760456536124986,87.45881,219,68.062,Slave,Locked,437
1760456536225661,87.59736,220,68.062,Slave,Locked,437
1760456536326886,87.61022,220,68.062,Slave,Locked,437
1760456536426306,87.53372,221,68.062,Slave,Locked,437
1760456536526418,87.413124,221,68.062,Slave,Locked,437
1760456536627490,87.41909,221,68.062,Slave,Locked,437
1760456536730162,87.294495,221,68.062,Slave,Locked,437
1760456536826209,87.30439,222,68.062,Slave,Locked,437
1760456536924840,87.145256,222,68.062,Slave,Locked,437
1760456537028054,87.10198,223,68.062,Slave,Locked,437
1760456537124934,87.00162,223,68.062,Slave,Locked,437
1760456537225526,87.05461,224,68.062,Slave,Locked,437
1760456537326302,86.84078,224,68.062,Slave,Locked,437
1760456537425870,86.81107,225,68.062,Slave,Locked,437
1760456537526526,86.7108,225,68.062,Slave,Locked,437
1760456537625497,86.6141,225,68.062,Slave,Locked,437
1760456537728809,86.52886,225,68.062,Slave,Locked,435
1760456537825717,86.509476,225,68.062,Slave,Locked,435
1760456537924441,86.4322,225,68.062,Slave,Locked,435
1760456538027271,86.57719,225,68.062,Slave,Locked,435
1760456538126375,86.56372,225,68.062,Slave,Locked,435
1760456538225684,86.69638,225,68.062,Slave,Locked,435
1760456538326073,86.611855,225,68.062,Slave,Locked,435
1760456538425354,86.694496,225,68.062,Slave,Locked,435
1760456538526724,86.72222,225,68.062,Slave,Locked,435
1760456538626103,86.635574,226,68.062,Slave,Locked,435
1760456538730644,86.59021,226,68.062,Slave,Locked,436
1760456538825641,86.45115,227,68.062,Slave,Locked,436
1760456538924942,86.28805,227,68.062,Slave,Locked,436
1760456539027215,86.20984,228,68.062,Slave,Locked,436
1760456539125087,86.112175,228,68.062,Slave,Locked,436
1760456539225763,85.9677,229,68.062,Slave,Locked,436
1760456539325813,85.75974,229,68.062,Slave,Locked,436
1760456539425623,85.501785,230,68.062,Slave,Locked,436
1760456539526840,85.335915,230,68.062,Slave,Locked,436
1760456539626812,85.35076,231,68.062,Slave,Locked,436
1760456539728949,85.300385,231,68.062,Slave,Locked,434
1760456539825910,85.443855,232,68.062,Slave,Locked,434
1760456539926142,85.439735,232,68.062,Slave,Locked,434
1760456540028139,85.54411,233,68.062,Slave,Locked,434
1760456540125124,85.519485,233,68.062,Slave,Locked,434
1760456540225357,85.58155,233,68.062,Slave,Locked,434
1760456540326439,85.52542,233,68.062,Slave,Locked,434
1760456540425727,85.58907,233,68.062,Slave,Locked,434
1760456540526536,85.43993,233,68.062,Slave,Locked,434
1760456540625842,85.45584,233,68.062,Slave,Locked,434
1760456540725608,85.33994,233,68.062,Slave,Locked,437
1760456540825658,85.477066,233,68.062,Slave,Locked,437
1760456540925283,85.42853,233,68.062,Slave,Locked,437
1760456541028435,85.50555,234,68.062,Slave,Locked,437
1760456541126687,85.50436,234,68.062,Slave,Locked,437
1760456541226313,85.50562,235,68.062,Slave,Locked,437
1760456541325897,85.51362,235,68.062,Slave,Locked,437
1760456541425620,85.46146,236,68.062,Slave,Locked,437
1760456541526569,85.44543,236,68.062,Slave,Locked,437
1760456541625948,85.45788,237,68.062,Slave,Locked,437
1760456541725063,85.44047,237,68.062,Slave,Locked,433
1760456541826157,85.429276,237,68.062,Slave,Locked,433
1760456541925853,85.38979,237,68.062,Slave,Locked,433
1760456542028422,85.49252,238,68.062,Slave,Locked,433
1760456542125714,85.42817,238,68.062,Slave,Locked,433
1760456542225811,85.52601,239,68.062,Slave,Locked,433
1760456542326267,85.53968,239,68.062,Slave,Locked,433
1760456542425894,85.68166,239,68.062,Slave,Locked,433
1760456542526609,85.64921,239,68.062,Slave,Locked,433
1760456542626603,85.73202,239,68.062,Slave,Locked,433
1760456542724824,85.705025,239,68.062,Slave,Locked,435
1760456542825755,85.71783,239,68.062,Slave,Locked,435
1760456542925143,85.59326,239,68.062,Slave,Locked,435
1760456543027935,85.43354,240,68.062,Slave,Locked,435
1760456543125629,85.589745,240,68.062,Slave,Locked,435
1760456543226160,85.80475,241,68.062,Slave,Locked,435
1760456543326762,85.777596,241,68.062,Slave,Locked,435
1760456543425964,85.81037,241,68.062,Slave,Locked,435
1760456543527180,85.84323,241,68.062,Slave,Locked,435
1760456543626765,85.73441,240,68.062,Slave,Locked,435
1760456543725930,85.849655,240,68.062,Slave,Locked,435
1760456543826853,85.712555,240,68.062,Slave,Locked,435
1760456543924950,85.82553,240,68.062,Slave,Locked,435
1760456544028491,85.98209,241,68.062,Slave,Locked,435
1760456544125463,85.99917,241,68.062,Slave,Locked,435
1760456544226852,86.16349,241,68.062,Slave,Locked,435
1760456544327206,86.280594,241,68.062,Slave,Locked,435
1760456544426820,86.47212,241,68.062,Slave,Locked,435
1760456544527649,86.766235,241,68.062,Slave,Locked,435
1760456544626549,86.41483,241,68.062,Slave,Locked,435
1760456544724907,86.43145,241,68.062,Slave,Locked,435
1760456544826441,86.47603,241,68.062,Slave,Locked,435
1760456544926975,86.40352,241,68.062,Slave,Locked,435
1760456545028309,86.46803,241,68.062,Slave,Locked,435
1760456545124945,86.5821,241,68.062,Slave,Locked,435
1760456545225809,86.67858,241,68.062,Slave,Locked,435
